reflection_id,dev_id,date,prompt_id,prompt_text,answer_text,insight_tags,depth_score_manual,privacy_ok
R0053,D026,2025-07-07,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что дыхание выравнивает фокус — сделаю в течение часа.","благодарность,сон",,True
R0054,D033,2025-06-19,P3,Какая одна маленькая вещь поможет следующему шагу?,"Стоит помнить, что стоит закрыть лишние вкладки и это ок.",перерыв,,False
R0055,D025,2025-07-07,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, разговор с коллегой отвлёк и это сэкономит время.",музыка,,True
R0056,D031,2025-06-08,P3,Какая одна маленькая вещь поможет следующему шагу?,"Замечаю, разговор с коллегой отвлёк.",цели,,True
R0057,D021,2025-06-27,P3,Какая одна маленькая вещь поможет следующему шагу?,"Замечаю, музыка мешала и стало легче.","фокус,музыка,благодарность",,False
R0058,D044,2025-07-18,P3,Какая одна маленькая вещь поможет следующему шагу?,"Кажется, музыка мешала и это ок.",благодарность,,True
R0059,D037,2025-06-18,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, короткий перерыв помогает.","сон,план,музыка",,True
R0060,D017,2025-06-14,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что музыка мешала — попробую завтра снова.",сон,,True
R0061,D008,2025-07-29,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что дыхание выравнивает фокус и это сэкономит время.","план,перерыв,фокус",,True
R0062,D040,2025-06-21,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что музыка мешала и это сэкономит время.","перерыв,сон,граница-раб-лич",,True
R0063,D049,2025-07-07,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, стоит закрыть лишние вкладки и стало легче.",цели,,True
R0064,D026,2025-07-26,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что лучше записать следующий шаг и это ок.","граница-раб-лич,музыка",,True
R0065,D001,2025-07-14,P2,Что получилось хорошо за последние 2–3 часа?,"Сегодня понял(а), что стоит закрыть лишние вкладки и это ок.","граница-раб-лич,благодарность",,True
R0066,D036,2025-06-17,P2,Что получилось хорошо за последние 2–3 часа?,"Сегодня понял(а), что музыка мешала — попробую завтра снова.","план,перерыв",,False
R0067,D028,2025-06-14,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что лучше записать следующий шаг — попробую завтра снова.","музыка,благодарность,сон",,True
R0068,D037,2025-07-14,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, стоит закрыть лишние вкладки и это сэкономит время.",перерыв,,False
R0069,D013,2025-06-10,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, лучше записать следующий шаг — попробую завтра снова.","фокус,граница-раб-лич",,True
R0070,D032,2025-06-20,P3,Какая одна маленькая вещь поможет следующему шагу?,"Замечаю, дыхание выравнивает фокус — попробую завтра снова.","фокус,сон,план",,True
R0071,D031,2025-07-24,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Сегодня понял(а), что музыка мешала — сделаю в течение часа.","музыка,благодарность",,True
R0072,D023,2025-06-02,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что короткий перерыв помогает — сделаю в течение часа.",музыка,,True
R0073,D050,2025-06-19,P3,Какая одна маленькая вещь поможет следующему шагу?,"Кажется, дыхание выравнивает фокус и это сэкономит время.","план,цели",,True
R0074,D030,2025-07-11,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, разговор с коллегой отвлёк — сделаю в течение часа.",музыка,,False
R0075,D005,2025-06-06,P2,Что получилось хорошо за последние 2–3 часа?,"Сегодня понял(а), что разговор с коллегой отвлёк и это ок.","сон,благодарность",,True
R0076,D039,2025-07-12,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что разговор с коллегой отвлёк — сделаю в течение часа.","план,цели",,False
R0077,D027,2025-06-11,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, разговор с коллегой отвлёк и это ок.",благодарность,,True
R0078,D014,2025-06-11,P4,За что ты благодарен(на) в работе сегодня?,"Почувствовал(а), что лучше записать следующий шаг — сделаю в течение часа.",граница-раб-лич,,True
R0079,D002,2025-07-20,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что короткий перерыв помогает и стало легче.","граница-раб-лич,фокус,благодарность",,False
R0080,D020,2025-06-15,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, короткий перерыв помогает — сделаю в течение часа.","перерыв,сон,музыка",,True
R0081,D002,2025-06-03,P3,Какая одна маленькая вещь поможет следующему шагу?,"Стоит помнить, что музыка мешала — сделаю в течение часа.","план,сон",,False
R0082,D009,2025-07-31,P5,Что бы ты сделал(а) иначе в следующий раз?,"Стоит помнить, что лучше записать следующий шаг — сделаю в течение часа.",план,,True
R0083,D023,2025-07-01,P5,Что бы ты сделал(а) иначе в следующий раз?,"Кажется, музыка мешала и это ок.",граница-раб-лич,,False
R0084,D017,2025-06-10,P3,Какая одна маленькая вещь поможет следующему шагу?,"Стоит помнить, что короткий перерыв помогает и это ок.",фокус,,True
R0085,D031,2025-07-05,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Сегодня понял(а), что дыхание выравнивает фокус и это сэкономит время.","план,цели,сон",,True
R0086,D039,2025-06-15,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что лучше записать следующий шаг и это сэкономит время.","музыка,граница-раб-лич,сон",,True
R0087,D011,2025-07-16,P4,За что ты благодарен(на) в работе сегодня?,"Почувствовал(а), что лучше записать следующий шаг.","сон,благодарность",,True
R0088,D034,2025-07-19,P5,Что бы ты сделал(а) иначе в следующий раз?,"Стоит помнить, что музыка мешала и это сэкономит время.","перерыв,благодарность,музыка",,True
R0089,D005,2025-06-12,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, стоит закрыть лишние вкладки и это сэкономит время.","граница-раб-лич,музыка",,True
R0090,D045,2025-07-10,P4,За что ты благодарен(на) в работе сегодня?,"Почувствовал(а), что короткий перерыв помогает и стало легче.",музыка,,True
R0091,D012,2025-06-07,P3,Какая одна маленькая вещь поможет следующему шагу?,"Кажется, разговор с коллегой отвлёк и стало легче.","благодарность,музыка",,True
R0092,D006,2025-06-10,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Кажется, музыка мешала и это сэкономит время.","сон,благодарность",,True
R0093,D030,2025-07-15,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Замечаю, дыхание выравнивает фокус и это ок.","граница-раб-лич,цели",,False
R0094,D005,2025-07-05,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что лучше записать следующий шаг и стало легче.",сон,,True
R0095,D050,2025-07-16,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что короткий перерыв помогает и это сэкономит время.","план,граница-раб-лич",,True
R0096,D034,2025-07-13,P2,Что получилось хорошо за последние 2–3 часа?,"Сегодня понял(а), что музыка мешала — попробую завтра снова.","цели,музыка",,True
R0097,D048,2025-07-30,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что короткий перерыв помогает и это ок.","граница-раб-лич,благодарность,сон",,True
R0098,D043,2025-06-14,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Сегодня понял(а), что дыхание выравнивает фокус — попробую завтра снова.",цели,,True
R0099,D038,2025-06-08,P4,За что ты благодарен(на) в работе сегодня?,"Почувствовал(а), что стоит закрыть лишние вкладки.",фокус,,False
R0100,D045,2025-07-09,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, лучше записать следующий шаг и стало легче.","граница-раб-лич,план",,True
R0101,D049,2025-07-11,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Замечаю, разговор с коллегой отвлёк — сделаю в течение часа.",музыка,,True
R0102,D009,2025-07-02,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, разговор с коллегой отвлёк — попробую завтра снова.","музыка,цели",,True
R0103,D045,2025-06-25,P3,Какая одна маленькая вещь поможет следующему шагу?,"Кажется, разговор с коллегой отвлёк и это сэкономит время.","благодарность,план,фокус",,True
R0104,D035,2025-07-15,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что музыка мешала и это ок.",благодарность,,False
R0105,D018,2025-07-26,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, лучше записать следующий шаг и это ок.","благодарность,фокус,перерыв",,True
R0106,D035,2025-06-24,P4,За что ты благодарен(на) в работе сегодня?,"Замечаю, дыхание выравнивает фокус — сделаю в течение часа.",цели,,True
R0107,D050,2025-07-10,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что лучше записать следующий шаг — попробую завтра снова.","граница-раб-лич,музыка",,False
R0108,D050,2025-07-06,P2,Что получилось хорошо за последние 2–3 часа?,"Сегодня понял(а), что дыхание выравнивает фокус и стало легче.","перерыв,благодарность,сон",,True
R0109,D003,2025-07-24,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, дыхание выравнивает фокус и это сэкономит время.",фокус,,True
R0110,D007,2025-06-03,P5,Что бы ты сделал(а) иначе в следующий раз?,"Стоит помнить, что стоит закрыть лишние вкладки.","цели,музыка,сон",,True
R0111,D004,2025-06-24,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, дыхание выравнивает фокус и это сэкономит время.","граница-раб-лич,фокус,план",,True
R0112,D024,2025-07-06,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что музыка мешала — сделаю в течение часа.","фокус,цели",,True
R0113,D047,2025-06-05,P3,Какая одна маленькая вещь поможет следующему шагу?,"Стоит помнить, что дыхание выравнивает фокус и стало легче.",сон,,True
R0114,D035,2025-06-25,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что разговор с коллегой отвлёк — попробую завтра снова.",сон,,False
R0115,D048,2025-06-07,P5,Что бы ты сделал(а) иначе в следующий раз?,"Кажется, дыхание выравнивает фокус — попробую завтра снова.","план,музыка",,True
R0116,D036,2025-06-26,P5,Что бы ты сделал(а) иначе в следующий раз?,"Стоит помнить, что лучше записать следующий шаг и это ок.","благодарность,перерыв",,True
R0117,D036,2025-06-21,P3,Какая одна маленькая вещь поможет следующему шагу?,"Сегодня понял(а), что стоит закрыть лишние вкладки — попробую завтра снова.","цели,план",,True
R0118,D025,2025-07-20,P5,Что бы ты сделал(а) иначе в следующий раз?,"Кажется, лучше записать следующий шаг и стало легче.","перерыв,благодарность,сон",,True
R0119,D019,2025-07-09,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Сегодня понял(а), что короткий перерыв помогает — попробую завтра снова.","благодарность,план,фокус",,True
R0120,D002,2025-07-20,P3,Какая одна маленькая вещь поможет следующему шагу?,"Кажется, музыка мешала — попробую завтра снова.","благодарность,фокус,цели",,True
R0121,D017,2025-06-24,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что музыка мешала и стало легче.",сон,,False
R0122,D037,2025-07-29,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, короткий перерыв помогает и это сэкономит время.","граница-раб-лич,музыка,благодарность",,True
R0123,D039,2025-07-12,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что дыхание выравнивает фокус и это ок.",цели,,True
R0124,D028,2025-06-27,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Кажется, дыхание выравнивает фокус и это ок.",фокус,,True
R0125,D021,2025-07-05,P5,Что бы ты сделал(а) иначе в следующий раз?,"Стоит помнить, что разговор с коллегой отвлёк — попробую завтра снова.",музыка,,True
R0126,D004,2025-07-14,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, музыка мешала и это сэкономит время.","граница-раб-лич,план",,True
R0127,D009,2025-06-22,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Кажется, музыка мешала и стало легче.","фокус,перерыв",,False
R0128,D033,2025-06-28,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что короткий перерыв помогает и это сэкономит время.",план,,False
R0129,D042,2025-07-07,P2,Что получилось хорошо за последние 2–3 часа?,"Сегодня понял(а), что лучше записать следующий шаг и это ок.","сон,граница-раб-лич,фокус",,True
R0130,D008,2025-07-13,P4,За что ты благодарен(на) в работе сегодня?,"Замечаю, музыка мешала и это ок.","музыка,благодарность",,True
R0131,D050,2025-06-20,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, лучше записать следующий шаг и стало легче.","план,перерыв",,True
R0132,D013,2025-07-14,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что разговор с коллегой отвлёк и стало легче.",граница-раб-лич,,True
R0133,D040,2025-07-30,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что музыка мешала и это сэкономит время.","фокус,благодарность",,False
R0134,D002,2025-06-22,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что музыка мешала — сделаю в течение часа.","сон,граница-раб-лич,перерыв",,False
R0135,D040,2025-07-17,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что дыхание выравнивает фокус и это ок.","фокус,сон,перерыв",,True
R0136,D004,2025-06-19,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что дыхание выравнивает фокус и это сэкономит время.","перерыв,фокус,сон",,True
R0137,D043,2025-07-25,P3,Какая одна маленькая вещь поможет следующему шагу?,"Сегодня понял(а), что разговор с коллегой отвлёк и это сэкономит время.",фокус,,True
R0138,D025,2025-07-03,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что стоит закрыть лишние вкладки и стало легче.","план,цели",,True
R0139,D013,2025-07-03,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что музыка мешала и это ок.","фокус,план,граница-раб-лич",,False
R0140,D026,2025-07-18,P2,Что получилось хорошо за последние 2–3 часа?,"Сегодня понял(а), что музыка мешала.",музыка,,True
R0141,D016,2025-07-03,P3,Какая одна маленькая вещь поможет следующему шагу?,"Кажется, дыхание выравнивает фокус — сделаю в течение часа.",перерыв,,True
R0142,D015,2025-06-10,P3,Какая одна маленькая вещь поможет следующему шагу?,"Кажется, стоит закрыть лишние вкладки.","благодарность,фокус",,True
R0143,D027,2025-06-16,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что стоит закрыть лишние вкладки и это ок.",цели,,False
R0144,D035,2025-06-09,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, короткий перерыв помогает и это ок.","благодарность,перерыв,цели",,True
R0145,D028,2025-07-29,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что стоит закрыть лишние вкладки.","благодарность,план,фокус",,True
R0146,D012,2025-06-21,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, лучше записать следующий шаг и это ок.","фокус,цели,благодарность",,False
R0147,D048,2025-07-30,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что короткий перерыв помогает — попробую завтра снова.",сон,,True
R0148,D049,2025-07-10,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, короткий перерыв помогает.","сон,перерыв",,True
R0149,D023,2025-06-06,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что короткий перерыв помогает и это сэкономит время.",план,,False
R0150,D031,2025-06-09,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что лучше записать следующий шаг и стало легче.",сон,,True
R0151,D027,2025-06-15,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, лучше записать следующий шаг — сделаю в течение часа.",граница-раб-лич,,False
R0152,D045,2025-06-21,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, дыхание выравнивает фокус — сделаю в течение часа.",цели,,False
R0153,D047,2025-06-21,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, лучше записать следующий шаг и стало легче.","фокус,перерыв,план",,True
R0154,D034,2025-07-05,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что разговор с коллегой отвлёк и стало легче.","фокус,перерыв,сон",,True
R0155,D019,2025-06-29,P4,За что ты благодарен(на) в работе сегодня?,"Замечаю, лучше записать следующий шаг и это ок.","перерыв,сон",,True
R0156,D045,2025-07-04,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что дыхание выравнивает фокус — попробую завтра снова.","план,фокус",,True
R0157,D026,2025-06-27,P3,Какая одна маленькая вещь поможет следующему шагу?,"Кажется, стоит закрыть лишние вкладки.","фокус,граница-раб-лич",,True
R0158,D030,2025-06-06,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что дыхание выравнивает фокус и стало легче.","благодарность,музыка",,False
R0159,D041,2025-06-24,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что короткий перерыв помогает и это сэкономит время.","цели,музыка,перерыв",,False
R0160,D003,2025-07-20,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, короткий перерыв помогает.","благодарность,граница-раб-лич",,True
R0161,D027,2025-06-20,P3,Какая одна маленькая вещь поможет следующему шагу?,"Замечаю, дыхание выравнивает фокус — попробую завтра снова.","план,благодарность,музыка",,True
R0162,D001,2025-07-10,P3,Какая одна маленькая вещь поможет следующему шагу?,"Кажется, лучше записать следующий шаг — сделаю в течение часа.",план,,True
R0163,D039,2025-07-27,P4,За что ты благодарен(на) в работе сегодня?,"Стоит помнить, что разговор с коллегой отвлёк и это сэкономит время.",сон,,False
R0164,D027,2025-06-29,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Сегодня понял(а), что стоит закрыть лишние вкладки.","фокус,граница-раб-лич,перерыв",,True
R0165,D004,2025-06-12,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что короткий перерыв помогает и стало легче.",музыка,,True
R0166,D022,2025-07-29,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Кажется, короткий перерыв помогает — попробую завтра снова.",граница-раб-лич,,True
R0167,D040,2025-07-13,P5,Что бы ты сделал(а) иначе в следующий раз?,"Стоит помнить, что музыка мешала и стало легче.","благодарность,сон,музыка",,True
R0168,D050,2025-06-20,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что лучше записать следующий шаг — сделаю в течение часа.","цели,план",,True
R0169,D019,2025-07-01,P2,Что получилось хорошо за последние 2–3 часа?,"Сегодня понял(а), что стоит закрыть лишние вкладки и это сэкономит время.",перерыв,,True
R0170,D045,2025-06-14,P5,Что бы ты сделал(а) иначе в следующий раз?,"Стоит помнить, что разговор с коллегой отвлёк.",граница-раб-лич,,True
R0171,D031,2025-07-17,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что музыка мешала — сделаю в течение часа.","перерыв,сон,план",,True
R0172,D009,2025-07-10,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, стоит закрыть лишние вкладки — попробую завтра снова.","план,сон",,True
R0173,D013,2025-06-01,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Почувствовал(а), что разговор с коллегой отвлёк — попробую завтра снова.",план,,False
R0174,D027,2025-06-03,P3,Какая одна маленькая вещь поможет следующему шагу?,"Замечаю, разговор с коллегой отвлёк и это ок.","сон,фокус",,True
